Chidamber-Kemerer metrics,Thu, 6 Nov 2025 21:43:55 WET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
ApplicationTests,59,1,5,0,201,111
GenericModTest,5,1,2,1,19,3
ModTestAllure,12,2,1,0,14,1
mindustry.ClientLauncher,30,2,2,2,98,40
mindustry.Vars,534,1,1,0,104,34
mindustry.ai.Astar,13,1,1,0,27,14
mindustry.ai.Astar.DistanceHeuristic,n/a,n/a,n/a,n/a,1,n/a
mindustry.ai.Astar.TileHeuristic,n/a,n/a,n/a,n/a,2,n/a
mindustry.ai.BaseBuilderAI,37,1,1,0,65,43
mindustry.ai.BaseRegistry,23,1,1,0,28,17
mindustry.ai.BaseRegistry.BasePart,7,1,1,0,3,2
mindustry.ai.BlockIndexer,64,1,1,0,107,130
mindustry.ai.BlockIndexer.TurretQuadtree,3,2,2,0,6,3
mindustry.ai.ControlPathfinder,34,1,1,0,195,274
mindustry.ai.ControlPathfinder.Cluster,1,1,0,0,0,0
mindustry.ai.ControlPathfinder.FieldCache,6,1,0,0,4,1
mindustry.ai.ControlPathfinder.FieldIndexStruct,0,1,0,0,0,0
mindustry.ai.ControlPathfinder.IntraEdgeStruct,0,1,0,0,0,0
mindustry.ai.ControlPathfinder.NodeIndexStruct,0,1,0,0,0,0
mindustry.ai.ControlPathfinder.PathRequest,7,1,0,0,5,1
mindustry.ai.ItemUnitStance,7,4,3,0,14,6
mindustry.ai.PathfindQueue,3,1,1,0,12,24
mindustry.ai.Pathfinder,37,1,1,0,95,98
mindustry.ai.Pathfinder.EnemyCoreField,14,2,1,0,12,11
mindustry.ai.Pathfinder.Flowfield,10,1,4,2,23,12
mindustry.ai.Pathfinder.PathCost,n/a,n/a,n/a,n/a,1,n/a
mindustry.ai.Pathfinder.PathTileStruct,0,1,0,0,0,0
mindustry.ai.Pathfinder.PositionTarget,3,2,1,0,7,2
mindustry.ai.RtsAI,29,1,1,0,94,57
mindustry.ai.UnitCommand,25,3,4,8,13,9
mindustry.ai.UnitGroup,14,1,1,0,36,20
mindustry.ai.UnitStance,17,3,5,1,19,12
mindustry.ai.WaveSpawner,49,1,3,0,75,48
mindustry.ai.WaveSpawner.SpawnConsumer,n/a,n/a,n/a,n/a,1,n/a
mindustry.ai.types.AssemblerAI,7,2,1,0,8,4
mindustry.ai.types.BoostAI,5,2,1,0,8,3
mindustry.ai.types.BuilderAI,34,2,1,0,59,47
mindustry.ai.types.CargoAI,17,2,1,0,34,29
mindustry.ai.types.CommandAI,53,2,2,0,123,124
mindustry.ai.types.DefenderAI,13,2,1,0,17,9
mindustry.ai.types.FlyingAI,22,2,1,1,25,26
mindustry.ai.types.FlyingFollowAI,14,3,2,0,23,14
mindustry.ai.types.GroundAI,21,2,1,1,13,15
mindustry.ai.types.HugAI,21,2,1,0,21,13
mindustry.ai.types.LogicAI,29,2,6,0,37,23
mindustry.ai.types.MinerAI,24,2,1,0,28,20
mindustry.ai.types.MissileAI,16,2,2,0,21,8
mindustry.ai.types.PrebuildAI,32,2,1,0,61,36
mindustry.ai.types.RepairAI,12,2,1,0,13,17
mindustry.ai.types.SuicideAI,26,3,1,0,28,17
mindustry.annotations.Annotations,0,1,0,0,0,0
mindustry.annotations.Annotations.BaseComponent,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.CallSuper,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.Component,n/a,n/a,n/a,n/a,2,n/a
mindustry.annotations.Annotations.EntityDef,n/a,n/a,n/a,n/a,6,n/a
mindustry.annotations.Annotations.EntityInterface,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.Final,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.GroupDef,n/a,n/a,n/a,n/a,4,n/a
mindustry.annotations.Annotations.Import,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.InternalImpl,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.Load,n/a,n/a,n/a,n/a,4,n/a
mindustry.annotations.Annotations.Loc,25,n/a,2,n/a,3,1
mindustry.annotations.Annotations.MethodPriority,n/a,n/a,n/a,n/a,1,n/a
mindustry.annotations.Annotations.NoSync,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.OverrideCallSuper,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.PacketPriority,6,n/a,2,n/a,2,0
mindustry.annotations.Annotations.ReadOnly,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.RegisterStatement,n/a,n/a,n/a,n/a,1,n/a
mindustry.annotations.Annotations.Remote,n/a,n/a,n/a,n/a,6,n/a
mindustry.annotations.Annotations.Replace,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.Struct,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.StructField,n/a,n/a,n/a,n/a,1,n/a
mindustry.annotations.Annotations.StyleDefaults,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.SyncField,n/a,n/a,n/a,n/a,2,n/a
mindustry.annotations.Annotations.SyncLocal,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.TypeIOHandler,n/a,n/a,n/a,n/a,0,n/a
mindustry.annotations.Annotations.Variant,8,n/a,2,n/a,3,1
mindustry.annotations.BaseProcessor,13,2,10,6,95,42
mindustry.annotations.entity.EntityIO,11,1,1,0,69,56
mindustry.annotations.entity.EntityIO.Revision,2,1,1,0,7,6
mindustry.annotations.entity.EntityIO.RevisionField,2,1,0,0,2,2
mindustry.annotations.entity.EntityProcess,22,3,1,0,213,152
mindustry.annotations.entity.EntityProcess.EntityDefinition,4,1,0,0,2,2
mindustry.annotations.entity.EntityProcess.GroupDefinition,4,1,0,0,3,2
mindustry.annotations.impl.AssetsProcess,2,3,1,0,84,21
mindustry.annotations.impl.StructProcess,6,3,1,0,57,37
mindustry.annotations.misc.LoadRegionProcessor,6,3,1,0,48,17
mindustry.annotations.misc.LogicStatementProcessor,5,3,1,0,43,9
mindustry.annotations.remote.CallGenerator,11,1,1,0,59,55
mindustry.annotations.remote.MethodEntry,6,1,0,0,3,2
mindustry.annotations.remote.RemoteProcess,9,3,1,0,23,7
mindustry.annotations.remote.SerializerResolver,1,1,1,0,11,4
mindustry.annotations.util.AnnotationProxyMaker,2,1,2,0,30,16
mindustry.annotations.util.AnnotationProxyMaker.ValueVisitor,2,1,1,0,35,17
mindustry.annotations.util.Selement,15,1,1,3,44,22
mindustry.annotations.util.Smethod,9,2,3,0,37,16
mindustry.annotations.util.Stype,11,2,1,0,33,13
mindustry.annotations.util.Svar,11,2,3,0,16,8
mindustry.annotations.util.TypeIOResolver,9,1,1,0,23,9
mindustry.annotations.util.TypeIOResolver.ClassSerializer,5,1,1,0,3,2
mindustry.async.AsyncCore,9,1,1,0,23,14
mindustry.async.AsyncProcess,n/a,n/a,n/a,n/a,6,n/a
mindustry.async.AvoidanceProcess,15,1,1,0,24,20
mindustry.async.PhysicsProcess,23,1,1,0,23,15
mindustry.async.PhysicsProcess.PhysicRef,4,1,0,0,1,1
mindustry.async.PhysicsProcess.PhysicsWorld,2,1,1,0,23,15
mindustry.async.PhysicsProcess.PhysicsWorld.PhysicsBody,3,1,1,0,2,1
mindustry.audio.SoundControl,27,1,1,0,82,53
mindustry.audio.SoundControl.SoundData,1,1,0,0,1,0
mindustry.audio.SoundLoop,4,1,1,0,10,10
mindustry.content.Blocks,287,1,1,0,142,10
mindustry.content.Bullets,13,1,1,0,6,1
mindustry.content.ErekirTechTree,28,1,1,0,25,14
mindustry.content.Fx,152,1,0,0,128,103
mindustry.content.Items,28,1,1,0,6,1
mindustry.content.Liquids,27,1,1,0,3,1
mindustry.content.Loadouts,8,1,1,0,2,1
mindustry.content.Planets,43,1,1,0,4,3
mindustry.content.SectorPresets,10,1,1,0,3,1
mindustry.content.SerpuloTechTree,13,1,1,0,12,1
mindustry.content.StatusEffects,45,1,1,0,2,3
mindustry.content.TeamEntries,1,1,1,0,1,1
mindustry.content.TechTree,16,1,1,0,20,12
mindustry.content.TechTree.TechNode,21,1,2,0,26,23
mindustry.content.UnitTypes,100,1,1,0,5,21
mindustry.content.Weathers,9,1,1,0,3,1
mindustry.core.ContentLoader,161,1,2,0,101,78
mindustry.core.Control,117,1,2,0,224,107
mindustry.core.FileTree,11,1,1,0,22,14
mindustry.core.GameState,211,1,3,0,19,16
mindustry.core.GameState.State,16,n/a,2,n/a,2,0
mindustry.core.Logic,94,1,2,0,147,95
mindustry.core.NetClient,70,1,1,0,199,126
mindustry.core.NetServer,89,1,1,0,267,197
mindustry.core.NetServer.ChatFormatter,n/a,n/a,n/a,n/a,1,n/a
mindustry.core.NetServer.InvalidCommandHandler,n/a,n/a,n/a,n/a,1,n/a
mindustry.core.NetServer.TeamAssigner,n/a,n/a,n/a,n/a,1,n/a
mindustry.core.NetServer.VoteSession,8,1,1,0,16,5
mindustry.core.PerfCounter,4,n/a,3,n/a,14,7
mindustry.core.Platform,n/a,n/a,n/a,n/a,82,n/a
mindustry.core.Platform.FileWriter,n/a,n/a,n/a,n/a,1,n/a
mindustry.core.Renderer,93,1,2,0,179,89
mindustry.core.Renderer.EnvRenderer,1,1,0,0,1,1
mindustry.core.UI,123,1,7,0,224,107
mindustry.core.Version,20,1,1,0,23,17
mindustry.core.World,186,1,4,1,132,123
mindustry.core.World.Context,6,1,6,1,16,9
mindustry.core.World.FilterContext,8,2,1,1,12,5
mindustry.ctype.Content,129,1,7,3,15,10
mindustry.ctype.Content.ModContentInfo,16,1,0,0,0,0
mindustry.ctype.ContentType,41,n/a,2,n/a,3,1
mindustry.ctype.MappableContent,91,2,0,3,4,2
mindustry.ctype.UnlockableContent,244,3,12,9,63,44
mindustry.desktop.DesktopLauncher,29,3,2,0,100,65
mindustry.desktop.steam.SNet,31,1,2,0,129,63
mindustry.desktop.steam.SNet.SteamConnection,4,2,3,0,21,8
mindustry.desktop.steam.SStats,5,1,1,0,13,7
mindustry.desktop.steam.SUser,4,1,0,0,1,0
mindustry.desktop.steam.SVars,5,1,0,0,0,0
mindustry.desktop.steam.SWorkshop,15,1,2,0,114,39
mindustry.editor.BannedContentDialog,13,7,1,0,86,24
mindustry.editor.DrawOperation,14,1,1,0,42,19
mindustry.editor.DrawOperation.TileOpDataStruct,0,1,0,0,0,0
mindustry.editor.DrawOperation.TileOpStruct,0,1,0,0,0,0
mindustry.editor.EditorRenderer,24,1,1,0,76,43
mindustry.editor.EditorSpriteCache,1,1,1,0,22,14
mindustry.editor.EditorTile,25,2,2,0,48,45
mindustry.editor.EditorTool,16,n/a,4,n/a,8,65
mindustry.editor.MapEditor,33,1,1,0,103,85
mindustry.editor.MapEditor.Context,7,1,2,0,14,6
mindustry.editor.MapEditorDialog,58,6,2,0,273,99
mindustry.editor.MapGenerateDialog,32,7,1,0,149,50
mindustry.editor.MapInfoDialog,21,7,1,0,47,2
mindustry.editor.MapLoadDialog,8,7,1,0,45,6
mindustry.editor.MapLocalesDialog,19,7,1,0,165,100
mindustry.editor.MapLocalesDialog.PropertyStatus,1,n/a,2,n/a,2,0
mindustry.editor.MapObjectivesCanvas,6,4,2,0,20,20
mindustry.editor.MapObjectivesCanvas.ObjectiveTilemap,8,4,3,0,58,37
mindustry.editor.MapObjectivesCanvas.ObjectiveTilemap.ObjectiveTile,13,5,1,0,53,8
mindustry.editor.MapObjectivesCanvas.ObjectiveTilemap.ObjectiveTile.Connector,5,6,1,0,17,21
mindustry.editor.MapObjectivesCanvas.ObjectiveTilemap.ObjectiveTile.Mover,3,2,1,0,10,5
mindustry.editor.MapObjectivesDialog,43,7,2,0,171,82
mindustry.editor.MapObjectivesDialog.FieldInterpreter,n/a,n/a,n/a,n/a,1,n/a
mindustry.editor.MapObjectivesDialog.FieldProvider,n/a,n/a,n/a,n/a,1,n/a
mindustry.editor.MapObjectivesDialog.TypeInfo,5,1,1,0,19,17
mindustry.editor.MapProcessorsDialog,26,7,1,0,73,21
mindustry.editor.MapResizeDialog,5,7,0,0,25,9
mindustry.editor.MapResizeDialog.ResizeListener,n/a,n/a,n/a,n/a,1,n/a
mindustry.editor.MapView,11,2,3,0,63,52
mindustry.editor.OperationStack,2,1,1,0,15,10
mindustry.editor.SectorGenerateDialog,20,7,1,0,47,6
mindustry.editor.WaveGraph,13,5,4,0,104,51
mindustry.editor.WaveGraph.Mode,1,n/a,2,n/a,2,0
mindustry.editor.WaveInfoDialog,25,7,1,0,135,52
mindustry.editor.WaveInfoDialog.Sort,4,n/a,2,n/a,4,2
mindustry.entities.Damage,55,1,2,0,162,118
mindustry.entities.Damage.Collided,2,1,1,0,2,2
mindustry.entities.Effect,164,1,5,8,74,53
mindustry.entities.Effect.EffectContainer,10,1,1,0,6,8
mindustry.entities.EntityCollisions,18,1,4,0,56,36
mindustry.entities.EntityCollisions.SolidPred,n/a,n/a,n/a,n/a,1,n/a
mindustry.entities.EntityGroup,59,1,3,0,80,72
mindustry.entities.EntityIndexer,n/a,n/a,n/a,n/a,1,n/a
mindustry.entities.Fires,20,1,1,0,26,18
mindustry.entities.GroupDefs,12,1,0,0,0,0
mindustry.entities.Leg,2,1,0,0,1,0
mindustry.entities.LegDestroyData,2,1,0,0,1,1
mindustry.entities.Lightning,20,1,1,0,38,12
mindustry.entities.Mover,n/a,n/a,n/a,n/a,1,n/a
mindustry.entities.Predict,6,1,1,0,17,14
mindustry.entities.Puddles,27,1,1,0,40,33
mindustry.entities.Sized,n/a,n/a,n/a,n/a,1,n/a
mindustry.entities.TargetPriority,16,1,0,0,0,0
mindustry.entities.UnitSorts,11,1,0,0,3,1
mindustry.entities.Units,86,1,5,0,101,97
mindustry.entities.Units.BuildingPriorityf,n/a,n/a,n/a,n/a,1,n/a
mindustry.entities.Units.Sortf,n/a,n/a,n/a,n/a,1,n/a
mindustry.entities.Units.UnitSyncContainer,3,1,0,0,2,2
mindustry.entities.abilities.Ability,24,1,8,15,40,14
mindustry.entities.abilities.ArmorPlateAbility,8,2,1,0,20,11
mindustry.entities.abilities.EnergyFieldAbility,27,2,1,1,63,29
mindustry.entities.abilities.ForceFieldAbility,17,2,1,0,38,17
mindustry.entities.abilities.LiquidExplodeAbility,12,2,1,1,13,7
mindustry.entities.abilities.LiquidRegenAbility,16,2,1,1,22,10
mindustry.entities.abilities.MoveEffectAbility,11,2,1,5,13,10
mindustry.entities.abilities.MoveLightningAbility,9,2,1,0,31,12
mindustry.entities.abilities.RegenAbility,5,2,1,1,7,6
mindustry.entities.abilities.RepairFieldAbility,10,2,1,0,15,10
mindustry.entities.abilities.ShieldArcAbility,23,2,1,1,63,23
mindustry.entities.abilities.ShieldRegenFieldAbility,9,2,1,0,15,8
mindustry.entities.abilities.SpawnDeathAbility,8,2,1,0,15,9
mindustry.entities.abilities.StatusFieldAbility,12,2,1,0,18,8
mindustry.entities.abilities.SuppressionFieldAbility,9,2,1,4,30,9
mindustry.entities.abilities.UnitSpawnAbility,17,2,1,0,29,11
mindustry.entities.bullet.ArtilleryBulletType,8,4,1,22,10,6
mindustry.entities.bullet.BasicBulletType,16,3,1,66,22,8
mindustry.entities.bullet.BombBulletType,4,4,0,1,4,3
mindustry.entities.bullet.BulletType,131,2,5,42,174,161
mindustry.entities.bullet.ContinuousBulletType,12,3,1,2,18,15
mindustry.entities.bullet.ContinuousFlameBulletType,10,4,2,2,23,10
mindustry.entities.bullet.ContinuousLaserBulletType,9,4,2,3,22,8
mindustry.entities.bullet.EmpBulletType,19,4,1,1,20,11
mindustry.entities.bullet.EmptyBulletType,2,3,0,0,1,1
mindustry.entities.bullet.ExplosionBulletType,3,3,0,7,3,2
mindustry.entities.bullet.FireBulletType,7,3,2,1,19,8
mindustry.entities.bullet.FlakBulletType,10,4,1,11,13,7
mindustry.entities.bullet.InterceptorBulletType,5,4,1,0,12,8
mindustry.entities.bullet.LaserBoltBulletType,6,4,1,4,10,3
mindustry.entities.bullet.LaserBulletType,11,3,3,5,36,15
mindustry.entities.bullet.LightningBulletType,7,3,1,5,10,4
mindustry.entities.bullet.LiquidBulletType,12,3,1,9,29,14
mindustry.entities.bullet.MassDriverBolt,19,4,2,0,26,15
mindustry.entities.bullet.MissileBulletType,5,4,0,11,4,3
mindustry.entities.bullet.MultiBulletType,8,3,1,0,10,10
mindustry.entities.bullet.PointBulletType,11,3,1,0,20,8
mindustry.entities.bullet.PointLaserBulletType,9,3,1,1,29,23
mindustry.entities.bullet.RailBulletType,9,3,1,3,19,13
mindustry.entities.bullet.SapBulletType,13,3,2,3,35,12
mindustry.entities.bullet.ShrapnelBulletType,9,3,1,3,20,6
mindustry.entities.bullet.SpaceLiquidBulletType,5,3,1,1,9,3
mindustry.entities.comp.BlockUnitComp,9,1,1,0,20,14
mindustry.entities.comp.BuilderComp,34,1,1,0,98,86
mindustry.entities.comp.BuildingComp,92,1,38,0,494,493
mindustry.entities.comp.BuildingTetherComp,6,1,1,0,4,2
mindustry.entities.comp.BulletComp,32,1,2,0,87,57
mindustry.entities.comp.ChildComp,3,1,1,0,8,10
mindustry.entities.comp.CrawlComp,20,1,2,0,27,18
mindustry.entities.comp.DamageComp,0,1,0,0,0,0
mindustry.entities.comp.DecalComp,6,1,1,0,10,2
mindustry.entities.comp.DrawComp,1,1,2,0,2,2
mindustry.entities.comp.EffectStateComp,7,1,1,0,4,2
mindustry.entities.comp.ElevationMoveComp,6,1,1,0,3,2
mindustry.entities.comp.EntityComp,4,1,11,0,18,13
mindustry.entities.comp.FireComp,34,1,4,0,41,18
mindustry.entities.comp.HealthComp,2,1,1,0,20,21
mindustry.entities.comp.HitboxComp,3,1,5,0,16,12
mindustry.entities.comp.ItemsComp,3,1,1,0,13,10
mindustry.entities.comp.LaunchCoreComp,11,1,1,0,27,6
mindustry.entities.comp.LegsComp,26,1,1,0,58,40
mindustry.entities.comp.MechComp,13,1,1,0,32,20
mindustry.entities.comp.MinerComp,27,1,1,0,36,28
mindustry.entities.comp.OwnerComp,1,1,0,0,0,0
mindustry.entities.comp.PayloadComp,32,1,1,0,83,39
mindustry.entities.comp.PhysicsComp,4,1,1,0,7,5
mindustry.entities.comp.PlayerComp,44,1,4,0,107,73
mindustry.entities.comp.PosComp,7,1,1,0,21,15
mindustry.entities.comp.PosTeamDef,1,1,0,0,0,0
mindustry.entities.comp.PowerGraphUpdaterComp,3,1,1,0,2,1
mindustry.entities.comp.PuddleComp,25,1,3,0,37,24
mindustry.entities.comp.RotComp,1,1,0,0,0,0
mindustry.entities.comp.SegmentComp,14,1,1,0,37,31
mindustry.entities.comp.ShieldComp,11,1,1,0,13,12
mindustry.entities.comp.ShielderComp,3,1,1,0,1,1
mindustry.entities.comp.StatusComp,13,1,1,0,51,43
mindustry.entities.comp.SyncComp,5,1,10,0,17,14
mindustry.entities.comp.TankComp,21,1,1,0,31,21
mindustry.entities.comp.TeamComp,8,1,1,0,10,5
mindustry.entities.comp.TimedComp,1,1,1,0,4,3
mindustry.entities.comp.TimedKillComp,2,1,1,0,4,3
mindustry.entities.comp.TimerComp,0,1,1,0,4,2
mindustry.entities.comp.UnderwaterMoveComp,6,1,2,0,9,4
mindustry.entities.comp.UnitComp,83,1,3,0,267,232
mindustry.entities.comp.UnitTetherComp,9,1,1,0,7,6
mindustry.entities.comp.VelComp,6,1,2,0,25,16
mindustry.entities.comp.WaterCrawlComp,12,1,4,0,13,7
mindustry.entities.comp.WaterMoveComp,15,1,3,0,31,16
mindustry.entities.comp.WeaponsComp,12,1,2,0,21,21
mindustry.entities.comp.WorldLabelComp,10,1,2,0,27,16
mindustry.entities.effect.ExplosionEffect,7,2,0,10,13,2
mindustry.entities.effect.MultiEffect,6,2,1,0,5,5
mindustry.entities.effect.ParticleEffect,5,2,1,0,29,13
mindustry.entities.effect.RadialEffect,4,2,1,0,8,6
mindustry.entities.effect.SeqEffect,4,2,1,0,9,7
mindustry.entities.effect.SoundEffect,3,2,1,0,9,7
mindustry.entities.effect.WaveEffect,6,2,1,13,15,4
mindustry.entities.effect.WrapEffect,7,2,2,0,9,6
mindustry.entities.part.DrawPart,16,1,3,6,3,27
mindustry.entities.part.DrawPart.PartFunc,n/a,n/a,n/a,n/a,1,n/a
mindustry.entities.part.DrawPart.PartMove,5,1,0,0,3,3
mindustry.entities.part.DrawPart.PartParams,15,1,1,0,2,2
mindustry.entities.part.DrawPart.PartProgress,n/a,n/a,n/a,n/a,37,n/a
mindustry.entities.part.EffectSpawnerPart,9,2,1,0,15,11
mindustry.entities.part.FlarePart,8,2,2,1,11,9
mindustry.entities.part.HaloPart,6,2,2,11,17,21
mindustry.entities.part.HoverPart,4,2,2,1,10,9
mindustry.entities.part.RegionPart,13,2,1,50,41,39
mindustry.entities.part.ShapePart,6,2,2,10,16,17
mindustry.entities.pattern.ShootAlternate,5,2,1,3,7,6
mindustry.entities.pattern.ShootBarrel,5,2,1,2,5,5
mindustry.entities.pattern.ShootHelix,7,2,1,2,7,6
mindustry.entities.pattern.ShootMulti,7,2,1,0,10,9
mindustry.entities.pattern.ShootPattern,15,1,3,8,7,6
mindustry.entities.pattern.ShootPattern.BulletHandler,n/a,n/a,n/a,n/a,2,n/a
mindustry.entities.pattern.ShootSine,3,2,1,0,5,4
mindustry.entities.pattern.ShootSpread,5,2,2,1,5,5
mindustry.entities.pattern.ShootSummon,4,2,1,0,7,4
mindustry.entities.units.AIController,48,1,8,15,118,92
mindustry.entities.units.BuildPlan,89,1,1,0,35,37
mindustry.entities.units.StatusEntry,5,1,1,0,1,1
mindustry.entities.units.UnitController,n/a,n/a,n/a,n/a,8,n/a
mindustry.entities.units.WeaponMount,19,1,0,1,1,1
mindustry.game.AttackIndicators,3,1,1,0,18,8
mindustry.game.AttackIndicators.IndicatorStruct,0,1,0,0,0,0
mindustry.game.CampaignRules,21,1,1,0,6,4
mindustry.game.Difficulty,4,n/a,3,n/a,11,11
mindustry.game.EventType,1,1,0,0,0,0
mindustry.game.EventType.AdminRequestEvent,3,1,0,0,1,1
mindustry.game.EventType.AtlasPackEvent,1,1,0,0,0,0
mindustry.game.EventType.BlockBuildBeginEvent,5,1,0,0,1,1
mindustry.game.EventType.BlockBuildEndEvent,9,1,0,0,1,1
mindustry.game.EventType.BlockDestroyEvent,4,1,0,0,1,1
mindustry.game.EventType.BlockInfoEvent,1,1,0,0,0,0
mindustry.game.EventType.BuildDamageEvent,5,1,1,0,2,1
mindustry.game.EventType.BuildRotateEvent,4,1,0,0,2,1
mindustry.game.EventType.BuildSelectEvent,4,1,0,0,1,1
mindustry.game.EventType.BuildTeamChangeEvent,4,1,1,0,1,1
mindustry.game.EventType.BuildingBulletDestroyEvent,4,1,0,0,2,2
mindustry.game.EventType.BuildingCommandEvent,4,1,0,0,1,1
mindustry.game.EventType.ClientChatEvent,2,1,0,0,1,1
mindustry.game.EventType.ClientCreateEvent,2,1,0,0,0,0
mindustry.game.EventType.ClientLoadEvent,14,1,0,0,0,0
mindustry.game.EventType.ClientPreConnectEvent,3,1,0,0,1,1
mindustry.game.EventType.ClientServerConnectEvent,1,1,0,0,1,1
mindustry.game.EventType.ConfigEvent,3,1,0,0,1,1
mindustry.game.EventType.ConnectPacketEvent,3,1,0,0,1,1
mindustry.game.EventType.ConnectionEvent,2,1,0,0,1,1
mindustry.game.EventType.ContentInitEvent,2,1,0,0,0,0
mindustry.game.EventType.CoreChangeEvent,3,1,0,0,1,1
mindustry.game.EventType.CoreItemDeliverEvent,0,1,0,0,0,0
mindustry.game.EventType.DepositEvent,4,1,0,0,1,1
mindustry.game.EventType.DisposeEvent,2,1,0,0,0,0
mindustry.game.EventType.FileTreeInitEvent,1,1,0,0,0,0
