Chidamber-Kemerer metrics,Thu, 6 Nov 2025 21:43:55 WET
mindustry.logic.LogicRule,2,n/a,2,n/a,2,0
mindustry.logic.MessageType,2,n/a,2,n/a,2,0
mindustry.logic.RadarSort,4,n/a,2,n/a,8,1
mindustry.logic.RadarSort.RadarSortFunc,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.RadarTarget,7,n/a,2,n/a,8,1
mindustry.logic.RadarTarget.RadarTargetFunc,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.Ranged,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.Senseable,n/a,n/a,n/a,n/a,4,n/a
mindustry.logic.Settable,n/a,n/a,n/a,n/a,3,n/a
mindustry.logic.TileLayer,4,n/a,2,n/a,2,0
mindustry.maps.Map,47,1,4,0,69,45
mindustry.maps.MapException,3,4,0,0,2,1
mindustry.maps.MapPreviewLoader,12,4,4,0,29,10
mindustry.maps.MapPreviewLoader.MapPreviewParameter,3,3,0,0,1,1
mindustry.maps.Maps,55,1,5,0,135,67
mindustry.maps.Maps.MapProvider,n/a,n/a,n/a,n/a,1,n/a
mindustry.maps.Maps.ShuffleMode,6,n/a,4,n/a,15,7
mindustry.maps.SectorDamage,45,1,1,0,86,102
mindustry.maps.SectorSubmissions,8,1,1,0,12,9
mindustry.maps.SectorSubmissions.MapSubmission,1,1,0,0,0,0
mindustry.maps.filters.BlendFilter,10,2,3,0,11,11
mindustry.maps.filters.ClearFilter,8,2,2,0,6,9
mindustry.maps.filters.CoreSpawnFilter,11,2,4,0,15,7
mindustry.maps.filters.DistortFilter,8,2,3,0,12,5
mindustry.maps.filters.EnemySpawnFilter,9,2,3,0,15,7
mindustry.maps.filters.FilterOption,27,1,1,4,4,0
mindustry.maps.filters.FilterOption.BlockOption,18,2,1,0,33,9
mindustry.maps.filters.FilterOption.SliderOption,15,2,1,0,29,6
mindustry.maps.filters.FilterOption.ToggleOption,3,2,1,0,12,2
mindustry.maps.filters.GenerateFilter,34,1,8,16,48,28
mindustry.maps.filters.GenerateFilter.GenerateInput,22,1,2,0,10,4
mindustry.maps.filters.GenerateFilter.GenerateInput.TileProvider,n/a,n/a,n/a,n/a,1,n/a
mindustry.maps.filters.GenerateFilter.PackTileStruct,0,1,0,0,0,0
mindustry.maps.filters.LogicFilter,16,2,3,0,9,7
mindustry.maps.filters.MedianFilter,11,2,3,0,17,8
mindustry.maps.filters.MirrorFilter,10,2,2,0,35,12
mindustry.maps.filters.NoiseFilter,9,2,2,0,6,6
mindustry.maps.filters.OreFilter,10,2,2,0,8,4
mindustry.maps.filters.OreMedianFilter,12,2,3,0,17,11
mindustry.maps.filters.RandomItemFilter,11,2,3,0,9,7
mindustry.maps.filters.RiverNoiseFilter,9,2,2,0,6,7
mindustry.maps.filters.ScatterFilter,9,2,2,0,7,6
mindustry.maps.filters.SpawnPathFilter,19,2,3,0,23,15
mindustry.maps.filters.TerrainFilter,9,2,2,0,7,5
mindustry.maps.generators.BaseGenerator,37,1,1,0,70,69
mindustry.maps.generators.BasicGenerator,24,1,1,1,90,118
mindustry.maps.generators.BlankPlanetGenerator,7,3,2,1,5,2
mindustry.maps.generators.FileMapGenerator,31,1,1,0,31,24
mindustry.maps.generators.PlanetGenerator,41,2,8,4,61,43
mindustry.maps.generators.WorldGenerator,n/a,n/a,n/a,n/a,2,n/a
mindustry.maps.planet.AsteroidGenerator,19,4,2,0,28,22
mindustry.maps.planet.ErekirPlanetGenerator,25,3,2,0,56,76
mindustry.maps.planet.SerpuloPlanetGenerator,35,3,2,0,125,148
mindustry.maps.planet.TantrosPlanetGenerator,13,3,5,0,26,14
mindustry.mod.ClassLoaderCloser,1,1,1,0,2,2
mindustry.mod.ClassMap,497,1,0,0,2,0
mindustry.mod.ContentParser,119,1,8,0,193,211
mindustry.mod.ContentParser.FieldParser,n/a,n/a,n/a,n/a,1,n/a
mindustry.mod.ContentParser.ParseListener,n/a,n/a,n/a,n/a,1,n/a
mindustry.mod.ContentParser.TypeParser,n/a,n/a,n/a,n/a,1,n/a
mindustry.mod.ContentParser.UnitReq,4,1,0,0,0,0
mindustry.mod.Mod,9,1,5,1,8,6
mindustry.mod.ModClassLoader,1,2,1,0,12,7
mindustry.mod.ModListing,1,1,0,0,1,1
mindustry.mod.Mods,58,1,1,0,240,204
mindustry.mod.Mods.LoadedMod,34,1,7,0,41,29
mindustry.mod.Mods.ModDependency,2,1,0,0,1,1
mindustry.mod.Mods.ModLoadException,1,4,0,0,2,1
mindustry.mod.Mods.ModMeta,10,1,2,0,13,16
mindustry.mod.Mods.ModResolutionContext,3,1,0,0,4,0
mindustry.mod.Mods.ModState,4,n/a,2,n/a,2,0
mindustry.mod.Plugin,2,2,0,0,0,0
mindustry.mod.Scripts,7,1,4,0,42,27
mindustry.mod.Scripts.ScriptModuleProvider,4,3,1,0,17,8
mindustry.net.Administration,29,1,6,0,105,89
mindustry.net.Administration.ActionFilter,n/a,n/a,n/a,n/a,1,n/a
mindustry.net.Administration.ActionType,4,n/a,2,n/a,2,0
mindustry.net.Administration.ChatFilter,n/a,n/a,n/a,n/a,1,n/a
mindustry.net.Administration.Config,9,1,1,0,24,17
mindustry.net.Administration.PlayerAction,11,1,1,0,3,3
mindustry.net.Administration.PlayerInfo,7,1,1,0,7,3
mindustry.net.Administration.TraceInfo,4,1,0,0,1,1
mindustry.net.ArcNetProvider,19,1,1,0,88,38
mindustry.net.ArcNetProvider.ArcConnection,6,2,1,0,16,11
mindustry.net.ArcNetProvider.PacketSerializer,6,1,1,0,42,26
mindustry.net.BeControl,13,1,2,0,78,20
mindustry.net.CrashHandler,10,1,1,0,60,30
mindustry.net.Host,11,1,0,0,2,2
mindustry.net.Net,100,1,1,0,105,68
mindustry.net.Net.NetProvider,n/a,n/a,n/a,n/a,11,n/a
mindustry.net.NetConnection,26,1,3,2,27,16
mindustry.net.NetworkIO,27,1,1,0,72,17
mindustry.net.Packet,11,1,6,144,10,7
mindustry.net.Packets,0,1,0,0,0,0
mindustry.net.Packets.AdminAction,5,n/a,2,n/a,2,0
mindustry.net.Packets.Connect,5,2,1,0,1,1
mindustry.net.Packets.ConnectPacket,9,2,2,0,21,6
mindustry.net.Packets.Disconnect,5,2,1,0,1,1
mindustry.net.Packets.KickReason,11,n/a,3,n/a,9,4
mindustry.net.Packets.StreamBegin,5,2,1,0,6,2
mindustry.net.Packets.StreamChunk,7,2,1,0,8,2
mindustry.net.Packets.WorldStream,4,3,0,0,0,0
mindustry.net.ServerGroup,3,1,1,0,11,10
mindustry.net.Streamable,7,2,1,1,1,1
mindustry.net.Streamable.StreamBuilder,3,1,1,0,12,5
mindustry.net.ValidateException,4,4,0,0,2,1
mindustry.net.WorldReloader,11,1,1,0,17,11
mindustry.server.ServerControl,46,1,1,0,238,178
mindustry.server.ServerLauncher,18,1,1,0,36,8
mindustry.service.Achievement,7,n/a,3,n/a,16,11
mindustry.service.GameService,91,1,8,1,98,114
mindustry.service.SStat,3,n/a,3,n/a,12,7
mindustry.tools.Generators,36,1,1,0,137,160
mindustry.tools.Generators.ScorchGenerator,1,1,1,0,12,3
mindustry.tools.IconConverter,1,1,1,0,41,32
mindustry.tools.ImagePacker,14,1,2,0,101,45
mindustry.tools.ImagePacker.GenRegion,2,3,1,1,3,3
mindustry.tools.ImagePacker.PackIndex,1,1,0,0,1,1
mindustry.tools.ImageTileGenerator,1,1,1,0,18,11
mindustry.tools.ScriptMainGenerator,9,1,1,0,47,8
mindustry.type.AmmoType,n/a,n/a,n/a,n/a,4,n/a
mindustry.type.Category,9,n/a,3,n/a,5,2
mindustry.type.CellLiquid,15,5,1,1,34,21
mindustry.type.ErrorContent,4,2,1,0,1,1
mindustry.type.Item,149,4,6,22,31,24
mindustry.type.ItemSeq,26,1,2,1,43,44
mindustry.type.ItemStack,73,1,1,0,17,17
mindustry.type.Liquid,94,4,7,11,39,26
mindustry.type.LiquidStack,20,1,1,0,15,16
mindustry.type.MapLocales,10,2,3,0,27,23
mindustry.type.PayloadSeq,14,1,1,0,39,24
mindustry.type.PayloadStack,14,1,2,0,12,10
mindustry.type.Planet,80,4,5,5,145,87
mindustry.type.Planet.PlanetData,3,1,0,0,1,0
mindustry.type.Publishable,n/a,n/a,n/a,n/a,12,n/a
mindustry.type.Sector,74,1,1,0,89,58
mindustry.type.Sector.SectorRect,5,1,1,0,5,2
mindustry.type.SectorPreset,39,4,3,47,17,14
mindustry.type.StatusEffect,44,4,8,22,55,48
mindustry.type.StatusEffect.TransitionHandler,n/a,n/a,n/a,n/a,1,n/a
mindustry.type.TeamEntry,6,4,2,0,11,4
mindustry.type.UnitType,226,4,10,43,337,305
mindustry.type.UnitType.UnitEngine,5,1,2,0,13,7
mindustry.type.Weapon,62,1,3,81,105,86
mindustry.type.Weather,43,4,8,4,74,37
mindustry.type.Weather.WeatherEntry,7,1,0,0,4,3
mindustry.type.Weather.WeatherStateComp,8,1,1,0,17,6
mindustry.type.ammo.ItemAmmoType,15,1,2,0,14,9
mindustry.type.ammo.PowerAmmoType,15,1,3,0,10,8
mindustry.type.unit.ErekirUnitType,8,5,0,16,3,1
mindustry.type.unit.MissileUnitType,9,5,0,7,2,1
mindustry.type.unit.NeoplasmUnitType,10,5,0,2,4,1
mindustry.type.unit.TankUnitType,4,6,0,5,2,1
mindustry.type.weapons.BuildWeapon,7,2,1,1,18,7
mindustry.type.weapons.MineWeapon,8,2,1,0,19,7
mindustry.type.weapons.PointDefenseBulletWeapon,9,2,2,0,13,6
mindustry.type.weapons.PointDefenseWeapon,14,2,1,3,24,7
mindustry.type.weapons.RepairBeamWeapon,22,2,3,6,52,26
mindustry.type.weapons.RepairBeamWeapon.HealBeamMount,4,2,0,0,3,1
mindustry.type.weather.MagneticStorm,2,5,0,0,2,1
mindustry.type.weather.ParticleWeather,9,5,1,5,17,13
mindustry.type.weather.RainWeather,7,5,1,1,10,5
mindustry.type.weather.SolarFlare,2,5,0,0,2,1
mindustry.ui.Bar,42,2,1,0,41,21
mindustry.ui.BorderImage,8,3,1,3,17,7
mindustry.ui.CoreItemsDisplay,12,5,1,0,27,10
mindustry.ui.Displayable,n/a,n/a,n/a,n/a,2,n/a
mindustry.ui.Fonts,41,1,2,0,78,30
mindustry.ui.GridImage,1,2,1,0,7,6
mindustry.ui.IntFormat,1,1,1,0,9,6
mindustry.ui.ItemsDisplay,13,5,1,0,45,8
mindustry.ui.Links,4,1,1,0,5,3
mindustry.ui.Links.LinkEntry,2,1,0,0,4,1
mindustry.ui.Menus,15,1,3,0,52,45
mindustry.ui.Menus.MenuListener,n/a,n/a,n/a,n/a,1,n/a
mindustry.ui.Menus.TextInputListener,n/a,n/a,n/a,n/a,1,n/a
mindustry.ui.Minimap,10,5,0,0,15,17
mindustry.ui.MobileButton,1,7,0,0,10,1
mindustry.ui.MultiReqImage,6,5,1,0,9,4
mindustry.ui.ReqImage,15,5,1,0,8,4
mindustry.ui.Styles,107,1,1,0,23,6
mindustry.ui.WarningBar,2,2,1,0,9,2
mindustry.ui.dialogs.AboutDialog,9,7,1,0,59,12
mindustry.ui.dialogs.AdminsDialog,11,7,1,0,31,5
mindustry.ui.dialogs.BansDialog,8,7,1,0,25,4
mindustry.ui.dialogs.BaseDialog,61,6,2,47,38,10
mindustry.ui.dialogs.CampaignCompleteDialog,11,7,1,0,24,3
mindustry.ui.dialogs.CampaignRulesDialog,10,7,1,0,49,14
mindustry.ui.dialogs.ColorPicker,9,7,1,0,46,13
mindustry.ui.dialogs.ContentInfoDialog,18,7,1,0,44,17
mindustry.ui.dialogs.CustomGameDialog,4,8,1,0,5,2
mindustry.ui.dialogs.CustomRulesDialog,32,7,1,0,164,50
mindustry.ui.dialogs.DatabaseDialog,19,7,1,0,96,30
mindustry.ui.dialogs.DiscordDialog,5,6,0,0,28,2
mindustry.ui.dialogs.EditorMapsDialog,14,8,1,0,69,15
mindustry.ui.dialogs.EffectsDialog,12,7,2,0,50,16
mindustry.ui.dialogs.EffectsDialog.BoundsBatch,1,2,2,0,10,8
mindustry.ui.dialogs.EffectsDialog.EffectCell,4,2,1,0,23,7
mindustry.ui.dialogs.FileChooser,6,7,1,0,107,23
mindustry.ui.dialogs.FileChooser.FileHistory,1,1,1,0,12,9
mindustry.ui.dialogs.FullTextDialog,3,7,1,0,11,2
mindustry.ui.dialogs.GameOverDialog,23,7,1,0,55,14
mindustry.ui.dialogs.GameOverDialog.StatLabel,4,5,0,0,32,2
mindustry.ui.dialogs.HostDialog,13,7,1,0,65,9
mindustry.ui.dialogs.IconSelectDialog,9,6,1,0,37,9
mindustry.ui.dialogs.JoinDialog,26,7,1,0,210,116
mindustry.ui.dialogs.JoinDialog.Server,4,1,1,0,11,8
mindustry.ui.dialogs.KeybindDialog,4,6,2,0,74,22
mindustry.ui.dialogs.LanguageDialog,5,7,1,0,37,14
mindustry.ui.dialogs.LaunchLoadoutDialog,25,7,1,0,88,30
mindustry.ui.dialogs.LoadDialog,23,7,1,1,128,25
mindustry.ui.dialogs.LoadoutDialog,14,7,1,0,56,18
mindustry.ui.dialogs.MapListDialog,15,7,1,2,94,29
mindustry.ui.dialogs.MapPlayDialog,14,7,1,0,54,16
mindustry.ui.dialogs.ModsDialog,25,7,1,0,209,100
mindustry.ui.dialogs.PaletteDialog,7,6,1,0,17,5
mindustry.ui.dialogs.PausedDialog,26,7,1,0,72,25
mindustry.ui.dialogs.PlanetDialog,66,7,2,0,326,258
mindustry.ui.dialogs.PlanetDialog.Mode,1,n/a,2,n/a,2,0
mindustry.ui.dialogs.ResearchDialog,35,7,1,0,82,49
mindustry.ui.dialogs.ResearchDialog.LayoutNode,3,2,0,0,4,2
mindustry.ui.dialogs.ResearchDialog.TechTreeNode,6,2,0,0,3,2
mindustry.ui.dialogs.ResearchDialog.View,24,3,1,0,118,70
mindustry.ui.dialogs.SaveDialog,10,8,1,0,26,6
mindustry.ui.dialogs.SchematicsDialog,26,7,1,0,167,74
mindustry.ui.dialogs.SchematicsDialog.SchematicImage,9,3,1,0,27,8
mindustry.ui.dialogs.SchematicsDialog.SchematicInfoDialog,15,7,1,0,47,11
mindustry.ui.dialogs.SectorSelectDialog,11,7,1,0,37,7
mindustry.ui.dialogs.SettingsMenuDialog,30,7,1,0,151,79
mindustry.ui.dialogs.SettingsMenuDialog.SettingsCategory,2,1,0,0,3,1
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable,8,5,1,0,28,15
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.AreaTextSetting,3,3,1,0,21,3
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.CheckSetting,2,2,1,0,18,3
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.Setting,7,1,2,3,8,3
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.SliderSetting,4,2,1,0,30,2
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.TextSetting,3,2,1,1,19,3
mindustry.ui.dialogs.SettingsMenuDialog.StringProcessor,n/a,n/a,n/a,n/a,1,n/a
mindustry.ui.dialogs.TraceDialog,9,7,1,0,28,7
mindustry.ui.fragments.BlockConfigFragment,13,1,1,0,28,12
mindustry.ui.fragments.BlockInventoryFragment,20,1,1,0,68,38
mindustry.ui.fragments.ChatFragment,18,5,1,0,107,42
mindustry.ui.fragments.ChatFragment.ChatMode,3,n/a,5,n/a,10,6
mindustry.ui.fragments.ConsoleFragment,12,5,2,0,87,33
mindustry.ui.fragments.FadeInFragment,1,1,1,0,3,4
mindustry.ui.fragments.HintsFragment,27,1,1,0,60,27
mindustry.ui.fragments.HintsFragment.DefaultHint,35,n/a,7,n/a,57,15
mindustry.ui.fragments.HintsFragment.Hint,n/a,n/a,n/a,n/a,10,n/a
mindustry.ui.fragments.HudFragment,76,1,1,0,276,145
mindustry.ui.fragments.LoadingFragment,19,1,1,0,52,14
mindustry.ui.fragments.MenuFragment,15,1,1,0,104,37
mindustry.ui.fragments.MenuFragment.MenuButton,1,1,0,0,4,5
mindustry.ui.fragments.MinimapFragment,15,1,1,0,50,21
mindustry.ui.fragments.PlacementFragment,53,1,1,0,237,139
mindustry.ui.fragments.PlanConfigFragment,12,1,1,0,29,10
mindustry.ui.fragments.PlayerListFragment,24,1,1,0,130,24
mindustry.ui.layout.BranchTreeLayout,6,1,1,2,31,56
mindustry.ui.layout.BranchTreeLayout.TreeAlignment,1,n/a,2,n/a,2,0
mindustry.ui.layout.BranchTreeLayout.TreeLocation,2,n/a,2,n/a,2,0
mindustry.ui.layout.RadialTreeLayout,3,1,1,0,15,12
mindustry.ui.layout.RowTreeLayout,2,1,1,0,6,4
mindustry.ui.layout.TreeLayout,n/a,n/a,n/a,n/a,1,n/a
mindustry.ui.layout.TreeLayout.TreeNode,9,1,1,2,3,5
mindustry.world.Block,493,4,26,68,305,257
mindustry.world.Build,39,1,1,0,79,59
mindustry.world.CachedTile,10,2,2,2,7,7
mindustry.world.ColorMapper,5,1,1,0,9,3
mindustry.world.DirectionalItemBuffer,10,1,1,0,19,17
mindustry.world.DirectionalItemBuffer.BufferItemLegacyStruct,0,1,0,0,0,0
mindustry.world.DirectionalItemBuffer.BufferItemStruct,0,1,0,0,0,0
mindustry.world.Edges,22,1,3,0,17,16
mindustry.world.ItemBuffer,7,1,1,0,18,13
mindustry.world.ItemBuffer.TimeItemStruct,0,1,0,0,0,0
mindustry.world.Tile,263,1,6,2,185,202
mindustry.world.Tile.PackedTileDataStruct,0,1,0,0,0,0
mindustry.world.TileGen,6,1,1,0,1,1
mindustry.world.Tiles,41,1,4,0,25,23
mindustry.world.Tiles.TileIterator,3,1,1,0,3,3
mindustry.world.WorldContext,n/a,n/a,n/a,n/a,10,n/a
mindustry.world.WorldParams,9,1,0,1,0,0
mindustry.world.blocks.Attributes,19,1,1,0,13,14
mindustry.world.blocks.Autotiler,n/a,n/a,n/a,n/a,31,n/a
mindustry.world.blocks.Autotiler.AutotilerHolder,3,1,0,0,0,0
mindustry.world.blocks.Autotiler.SliceMode,6,n/a,2,n/a,2,0
mindustry.world.blocks.ConstructBlock,28,5,3,0,38,31
mindustry.world.blocks.ConstructBlock.ConstructBuild,48,2,2,0,70,73
mindustry.world.blocks.ControlBlock,n/a,n/a,n/a,n/a,5,n/a
mindustry.world.blocks.ExplosionShield,n/a,n/a,n/a,n/a,1,n/a
mindustry.world.blocks.ItemSelection,24,1,1,0,63,18
mindustry.world.blocks.LaunchAnimator,n/a,n/a,n/a,n/a,9,n/a
mindustry.world.blocks.RotBlock,n/a,n/a,n/a,n/a,1,n/a
mindustry.world.blocks.TileBitmask,4,1,1,0,3,5
mindustry.world.blocks.UnitTetherBlock,n/a,n/a,n/a,n/a,1,n/a
mindustry.world.blocks.campaign.Accelerator,16,5,3,1,14,6
mindustry.world.blocks.campaign.Accelerator.AcceleratorBuild,36,2,4,0,152,69
mindustry.world.blocks.campaign.LandingPad,25,5,4,1,24,13
mindustry.world.blocks.campaign.LandingPad.LandingPadBuild,32,2,3,0,124,58
mindustry.world.blocks.campaign.LaunchPad,16,5,2,2,16,4
mindustry.world.blocks.campaign.LaunchPad.LaunchPadBuild,27,2,2,0,70,26
mindustry.world.blocks.campaign.LaunchPad.LaunchPayloadComp,23,1,2,0,41,12
mindustry.world.blocks.defense.AutoDoor,12,6,1,1,7,3
mindustry.world.blocks.defense.AutoDoor.AutoDoorBuild,12,2,1,0,29,15
mindustry.world.blocks.defense.BaseShield,16,5,1,2,21,7
mindustry.world.blocks.defense.BaseShield.BaseShieldBuild,11,2,3,0,29,14
mindustry.world.blocks.defense.BuildTurret,13,6,2,1,11,5
mindustry.world.blocks.defense.BuildTurret.BuildTurretBuild,35,3,2,0,73,33
mindustry.world.blocks.defense.DirectionalForceProjector,20,5,2,1,26,10
mindustry.world.blocks.defense.DirectionalForceProjector.DirectionalForceProjectorBuild,12,2,1,0,36,18
mindustry.world.blocks.defense.Door,15,6,1,2,14,9
mindustry.world.blocks.defense.Door.DoorBuild,10,2,2,0,40,28
mindustry.world.blocks.defense.ForceProjector,27,5,2,1,36,11
mindustry.world.blocks.defense.ForceProjector.ForceBuild,20,2,2,0,53,37
mindustry.world.blocks.defense.MendProjector,20,5,2,2,22,5
mindustry.world.blocks.defense.MendProjector.MendBuild,11,2,1,0,42,12
mindustry.world.blocks.defense.OverdriveProjector,20,5,2,2,29,7
mindustry.world.blocks.defense.OverdriveProjector.OverdriveBuild,8,2,1,0,37,15
mindustry.world.blocks.defense.Radar,7,5,2,1,7,3
mindustry.world.blocks.defense.Radar.RadarBuild,9,2,2,0,22,9
mindustry.world.blocks.defense.RegenProjector,25,5,3,1,31,8
mindustry.world.blocks.defense.RegenProjector.RegenProjectorBuild,11,2,2,0,43,20
mindustry.world.blocks.defense.ShieldWall,7,6,1,1,7,2
mindustry.world.blocks.defense.ShieldWall.ShieldWallBuild,10,3,1,0,29,17
mindustry.world.blocks.defense.ShockMine,7,5,0,1,2,1
mindustry.world.blocks.defense.ShockMine.ShockMineBuild,7,2,3,0,14,9
mindustry.world.blocks.defense.ShockwaveTower,14,5,1,1,9,3
mindustry.world.blocks.defense.ShockwaveTower.ShockwaveTowerBuild,15,2,1,0,30,13
mindustry.world.blocks.defense.Thruster,5,6,1,1,8,3
mindustry.world.blocks.defense.Thruster.ThrusterBuild,5,3,1,0,4,1
mindustry.world.blocks.defense.Wall,19,5,2,28,8,6
mindustry.world.blocks.defense.Wall.WallBuild,12,2,1,2,21,11
mindustry.world.blocks.defense.turrets.BaseTurret,40,5,1,3,17,9
mindustry.world.blocks.defense.turrets.BaseTurret.BaseTurretBuild,17,2,3,3,5,4
mindustry.world.blocks.defense.turrets.ContinuousLiquidTurret,19,9,1,1,15,6
mindustry.world.blocks.defense.turrets.ContinuousLiquidTurret.ContinuousLiquidTurretBuild,16,6,3,0,22,10
mindustry.world.blocks.defense.turrets.ContinuousTurret,15,8,1,2,8,2
mindustry.world.blocks.defense.turrets.ContinuousTurret.ContinuousTurretBuild,20,5,6,1,49,28
mindustry.world.blocks.defense.turrets.ItemTurret,25,8,1,17,25,12
mindustry.world.blocks.defense.turrets.ItemTurret.ItemEntry,6,2,1,0,4,3
mindustry.world.blocks.defense.turrets.ItemTurret.ItemTurretBuild,19,5,3,0,37,24
mindustry.world.blocks.defense.turrets.LaserTurret,14,9,1,1,10,5
mindustry.world.blocks.defense.turrets.LaserTurret.LaserTurretBuild,19,6,4,0,41,21
mindustry.world.blocks.defense.turrets.LiquidTurret,15,8,1,2,15,6
mindustry.world.blocks.defense.turrets.LiquidTurret.LiquidTurretBuild,19,5,3,0,28,16
mindustry.world.blocks.defense.turrets.PayloadAmmoTurret,18,8,1,0,21,15
mindustry.world.blocks.defense.turrets.PayloadAmmoTurret.PayloadTurretBuild,14,5,1,0,31,17
mindustry.world.blocks.defense.turrets.PointDefenseTurret,14,7,2,1,6,3
mindustry.world.blocks.defense.turrets.PointDefenseTurret.PointDefenseBuild,17,4,1,0,37,11
mindustry.world.blocks.defense.turrets.PowerTurret,11,8,1,5,9,3
mindustry.world.blocks.defense.turrets.PowerTurret.PowerTurretBuild,11,5,3,1,9,5
mindustry.world.blocks.defense.turrets.ReloadTurret,15,6,1,2,6,3
mindustry.world.blocks.defense.turrets.ReloadTurret.ReloadTurretBuild,16,3,1,2,12,7
mindustry.world.blocks.defense.turrets.TractorBeamTurret,14,6,3,1,10,5
mindustry.world.blocks.defense.turrets.TractorBeamTurret.TractorBeamBuild,24,3,1,0,50,16
mindustry.world.blocks.defense.turrets.Turret,42,7,4,5,33,24
mindustry.world.blocks.defense.turrets.Turret.AmmoEntry,6,1,1,1,1,0
mindustry.world.blocks.defense.turrets.Turret.BulletEntry,5,1,0,0,1,1
mindustry.world.blocks.defense.turrets.Turret.TurretBuild,54,4,5,5,148,123
mindustry.world.blocks.distribution.ArmoredConveyor,6,6,1,1,11,3
mindustry.world.blocks.distribution.ArmoredConveyor.ArmoredConveyorBuild,7,3,1,0,4,1
mindustry.world.blocks.distribution.BufferedItemBridge,9,6,1,1,5,2
mindustry.world.blocks.distribution.BufferedItemBridge.BufferedItemBridgeBuild,7,3,2,0,19,6
mindustry.world.blocks.distribution.ChainedBuilding,n/a,n/a,n/a,n/a,1,n/a
mindustry.world.blocks.distribution.Conveyor,25,5,5,3,31,18
